date,monday,tuesday,wednesday,thursday,friday
2012 Feb-27 to Mar- 2,126.46,124.02,122.23,125.76,125.93
2012 Mar- 5 to Mar- 9,126.68,125.03,125.37,127.96,128.08
2012 Mar-12 to Mar-16,127.27,128.14,126.98,123.63,125.09
2012 Mar-19 to Mar-23,125.76,124.38,123.89,122.49,125.21
2012 Mar-26 to Mar-30,125.85,125.25,124.41,123.23,123.41
2012 Apr- 2 to Apr- 6,124.44,,123.04,123.58,
2012 Apr- 9 to Apr-13,,121.89,120.41,120.57,120.62
2012 Apr-16 to Apr-20,118.23,117.41,115.18,117,118.08
2012 Apr-23 to Apr-27,116.66,117.74,117.45,119.33,119.3
2012 Apr-30 to May- 4,118.66,119.57,117.57,115.91,111.66
2012 May- 7 to May-11,,110.48,111.89,112.24,112.5
2012 May-14 to May-18,110.79,111.4,109.8,109.31,108.03
2012 May-21 to May-25,109.02,109.76,106.88,107.2,107.86
2012 May-28 to Jun- 1,,107.55,103.85,103.86,98.63
2012 Jun- 4 to Jun- 8,97.74,98.65,101.14,100.05,97.57
2012 Jun-11 to Jun-15,98.6,96.59,97.29,96.46,97.13
2012 Jun-18 to Jun-22,95.21,95.14,93.5,89.22,89.22
2012 Jun-25 to Jun-29,88.69,90.19,92.06,91.02,94.17
2012 Jul- 2 to Jul- 6,95.28,99.89,,101.54,98.5
2012 Jul- 9 to Jul-13,99.94,99.15,99.23,99.18,101.91
2012 Jul-16 to Jul-20,102.1,104.21,105.92,107.79,106.98
2012 Jul-23 to Jul-27,103.91,103.57,102.35,104.77,106.3
2012 Jul-30 to Aug- 3,106.54,105.93,106.78,107.55,109.57
2012 Aug- 6 to Aug-10,110.01,112.39,113.42,113.52,113.13
2012 Aug-13 to Aug-17,114.48,113.9,115.51,116.12,115.2
2012 Aug-20 to Aug-24,115.5,116.03,115.77,117.45,115.76
2012 Aug-27 to Aug-31,113.74,112.62,112.53,112.28,113.93
2012 Sep- 3 to Sep- 7,,114.98,113.32,114.5,113.64
2012 Sep-10 to Sep-14,113.84,114.86,114.86,116,117.48
2012 Sep-17 to Sep-21,116.7,113.29,108.49,109.41,111.27
2012 Sep-24 to Sep-28,109.2,110.77,108.99,111.45,111.36
2012 Oct- 1 to Oct- 5,112.58,112.49,109.32,110.48,112.17
2012 Oct- 8 to Oct-12,112.6,114.32,116.11,116.18,115.17
2012 Oct-15 to Oct-19,115,115,113.49,112.58,111.89
2012 Oct-22 to Oct-26,109.62,107.53,107.66,107.64,108.9
2012 Oct-29 to Nov- 2,109.33,109.4,109.89,108.84,106.79
2012 Nov- 5 to Nov- 9,105.59,109.27,108.21,107.23,108.61
2012 Nov-12 to Nov-16,110.23,108.82,109.66,110.07,106.81
2012 Nov-19 to Nov-23,110.06,110.01,110.81,,110.14
2012 Nov-26 to Nov-30,110.18,109.33,108.26,110.47,110.84
2012 Dec- 3 to Dec- 7,111.27,109.99,108.96,108.01,107.16
2012 Dec-10 to Dec-14,108.25,107.6,110.17,110.18,109.28
2012 Dec-17 to Dec-21,109.35,109.96,109.95,110.57,109.13
2012 Dec-24 to Dec-28,108.44,,110.72,110.04,110.05
2012 Dec-31 to Jan- 4,110.8,,112.98,113.03,112.58
2013 Jan- 7 to Jan-11,112.49,113.03,113.07,112.97,110.3
2013 Jan-14 to Jan-18,111.32,111.72,110.97,111.01,111.71
2013 Jan-21 to Jan-25,,112.72,113.68,114.59,113.88
2013 Jan-28 to Feb- 1,113.92,115.22,115.42,115.55,115.55
2013 Feb- 4 to Feb- 8,116.06,117.03,116.61,117.17,118.9
2013 Feb-11 to Feb-15,118.29,117.89,118.43,118.48,117.4
2013 Feb-18 to Feb-22,,117.04,116.23,114.19,113.74
2013 Feb-25 to Mar- 1,114.55,112.96,112.24,112.2,110.14
2013 Mar- 4 to Mar- 8,109.9,110.42,110.27,110.42,108.91
2013 Mar-11 to Mar-15,108.64,108.48,107.51,108.1,109.32
2013 Mar-18 to Mar-22,108.54,106.91,108.27,106.41,106.51
2013 Mar-25 to Mar-29,106.66,107.1,108.51,108.46,
2013 Apr- 1 to Apr- 5,108.76,109.66,107.82,105.09,103.98
2013 Apr- 8 to Apr-12,103.16,104.08,104.8,103.62,100.58
2013 Apr-15 to Apr-19,99.32,97.88,96.84,97.48,98.94
2013 Apr-22 to Apr-26,99.07,99.25,100.71,101.62,102.39
2013 Apr-29 to May- 3,102.88,101.53,98.34,100.32,104.6
2013 May- 6 to May-10,105,105.18,103.79,103.59,101.31
2013 May-13 to May-17,102.17,102.7,101.57,104.27,103.83
2013 May-20 to May-24,104.55,103.1,102.14,100.46,101.24
2013 May-27 to May-31,,103.77,102.14,101.79,100.43
2013 Jun- 3 to Jun- 7,101.63,102.04,103.51,103.37,104.07
2013 Jun-10 to Jun-14,103.87,101.5,103.11,103.38,105.1
2013 Jun-17 to Jun-21,105.8,105.21,105.56,102.72,100.36
2013 Jun-24 to Jun-28,99.8,101.51,100.62,102.74,102.49
2013 Jul- 1 to Jul- 5,103.19,103.96,106.12,,107.46
2013 Jul- 8 to Jul-12,107.75,107.9,108.43,108.18,109.03
2013 Jul-15 to Jul-19,109.05,109.29,109.67,109.71,109.34
2013 Jul-22 to Jul-26,108.82,109.27,108.23,108.1,107.57
2013 Jul-29 to Aug- 2,108.1,107.47,107.89,109.94,109.63
2013 Aug- 5 to Aug- 9,109.81,108.77,108.39,107.32,108.49
2013 Aug-12 to Aug-16,109.28,110.69,110.26,111.58,111.82
2013 Aug-19 to Aug-23,111.41,110.74,110.82,110.51,112.12
2013 Aug-26 to Aug-30,112.23,115.21,116.27,116.91,115.97
2013 Sep- 2 to Sep- 6,,115.49,115.65,115.81,117.15
2013 Sep- 9 to Sep-13,115.2,112.1,112.37,113.11,113.31
2013 Sep-16 to Sep-20,110.86,109.05,109.09,110.66,110.22
2013 Sep-23 to Sep-27,108.56,107.68,109.46,108.86,109.45
