date,Polarity_avg,Subjectivity_avg,Class
2015-10-15,0.20095,0.96,neutral
2015-10-16,0.75895,0.727,positive
2015-10-17,0.73495,0.776,positive
2015-10-18,0.36345,0.882,positive
2015-10-18,0.36345,0.882,neutral
2015-10-19,0.0,1.0,neutral
2015-10-20,0.3825,0.866,neutral
2015-10-20,0.3825,0.866,positive
2015-10-21,0.31245,0.8305,neutral
2015-10-21,0.31245,0.8305,positive
2015-10-22,-0.0516,0.804,negative
2015-10-23,0.3612,0.884,positive
2015-10-24,0.0,1.0,neutral
2015-10-25,0.6486,0.819,positive
2015-10-26,0.1591,0.9595,positive
2015-10-26,0.1591,0.9595,neutral
2015-10-27,-0.2621,0.849,negative
2015-10-28,0.8891,0.63,positive
2015-10-29,0.03764999999999996,0.751,positive
2015-10-29,0.03764999999999996,0.751,negative
2015-10-30,0.58145,0.6815,positive
2015-10-31,-0.23195000000000002,0.6995,negative
2015-11-01,0.40835,0.7424999999999999,positive
2015-11-02,-0.21075000000000002,0.8305,negative
2015-11-02,-0.21075000000000002,0.8305,positive
2015-11-03,0.0516,0.9575,positive
2015-11-04,0.6249,0.831,positive
2015-11-05,0.0,1.0,neutral
2015-11-06,0.0,1.0,neutral
2015-11-07,-0.4404,0.8634999999999999,negative
2015-11-08,0.5749500000000001,0.7030000000000001,positive
2015-11-09,0.45930000000000004,0.8694999999999999,positive
2015-11-10,0.6268,0.8485,positive
2015-11-11,-0.4023,0.891,negative
2015-11-12,0.6605,0.7955000000000001,positive
2015-11-13,0.48175,0.905,positive
2015-11-14,0.31845,0.9365,neutral
2015-11-14,0.31845,0.9365,positive
2015-11-15,0.6369,0.879,positive
2015-11-16,0.0,1.0,neutral
2015-11-17,0.0665,0.8015,negative
2015-11-17,0.0665,0.8015,positive
2015-11-18,0.26505,0.7915000000000001,positive
2015-11-19,0.28554999999999997,0.6805000000000001,negative
2015-11-19,0.28554999999999997,0.6805000000000001,positive
2015-11-20,0.25605,0.7825,positive
2015-11-21,-0.8833500000000001,0.663,negative
2015-11-22,0.0386,0.9804999999999999,positive
2015-11-22,0.0386,0.9804999999999999,neutral
2015-11-23,0.47620000000000007,0.865,positive
2015-11-24,-0.34,0.897,negative
2015-11-25,-0.4588,0.7745,negative
2015-11-26,0.0,1.0,neutral
2015-11-27,0.43574999999999997,0.9,positive
2015-11-28,0.8271,0.632,positive
2015-11-29,0.17804999999999999,0.9219999999999999,negative
2015-11-29,0.17804999999999999,0.9219999999999999,positive
2015-11-30,0.2732,0.923,positive
2015-12-01,0.4868,0.87,positive
2015-12-02,0.6875,0.7395,positive
2015-12-03,0.0,1.0,neutral
2015-12-04,0.1366,0.9565,neutral
2015-12-04,0.1366,0.9565,positive
2015-12-05,-0.14354999999999998,0.827,negative
2015-12-05,-0.14354999999999998,0.827,positive
2015-12-06,0.09895000000000001,0.878,negative
2015-12-06,0.09895000000000001,0.878,positive
2015-12-07,-0.05135,0.8400000000000001,negative
2015-12-07,-0.05135,0.8400000000000001,neutral
2015-12-08,0.27125,0.702,negative
2015-12-08,0.27125,0.702,positive
2015-12-09,-0.34480000000000005,0.8069999999999999,negative
2015-12-10,0.3715,0.9205000000000001,positive
2015-12-11,-0.6309,0.8065,negative
2015-12-12,0.24695,0.956,neutral
2015-12-12,0.24695,0.956,positive
2015-12-13,0.5104500000000001,0.7344999999999999,positive
2015-12-14,-0.5106,0.895,negative
2015-12-15,0.5719,0.885,positive
2015-12-16,0.70175,0.778,positive
2015-12-17,0.51495,0.869,positive
2015-12-18,0.6027,0.8305,positive
2015-12-19,0.0,1.0,neutral
2015-12-20,-0.3243,0.9115,neutral
2015-12-20,-0.3243,0.9115,negative
2015-12-21,0.17635,0.704,positive
2015-12-22,-0.36765000000000003,0.69,negative
2015-12-23,-0.2202,0.944,neutral
2015-12-23,-0.2202,0.944,negative
2015-12-24,0.3404,0.8815,positive
2015-12-24,0.3404,0.8815,neutral
2015-12-25,0.71665,0.758,positive
2015-12-26,0.92445,0.635,positive
2015-12-27,0.20095,0.9279999999999999,neutral
2015-12-27,0.20095,0.9279999999999999,positive
2015-12-28,-0.7003,0.818,negative
2015-12-29,0.60835,0.7210000000000001,positive
2015-12-30,0.27115,0.9385,neutral
2015-12-30,0.27115,0.9385,positive
2015-12-31,0.69535,0.7629999999999999,positive
2016-01-01,-0.52885,0.714,negative
2016-01-02,0.6101000000000001,0.8105,positive
2016-01-03,-0.7193499999999999,0.8160000000000001,negative
2016-01-04,-0.3466,0.7525,negative
2016-01-05,0.40505,0.8095,positive
2016-01-06,0.3459,0.9055,positive
2016-01-07,0.08895,0.9670000000000001,positive
2016-01-07,0.08895,0.9670000000000001,neutral
2016-01-08,0.0,1.0,neutral
2016-01-09,0.5603,0.7845,positive
2016-01-10,0.50485,0.7155,positive
2016-01-11,-0.8738,0.69,negative
2016-01-12,0.4559,0.5760000000000001,positive
2016-01-13,0.012200000000000003,0.8580000000000001,positive
2016-01-13,0.012200000000000003,0.8580000000000001,negative
2016-01-14,0.13954999999999998,0.887,positive
2016-01-14,0.13954999999999998,0.887,negative
2016-01-15,-0.01830000000000001,0.804,positive
2016-01-15,-0.01830000000000001,0.804,negative
2016-01-16,0.15979999999999997,0.7075,positive
2016-01-16,0.15979999999999997,0.7075,negative
2016-01-17,0.3471,0.734,positive
2016-01-18,-0.71295,0.644,negative
2016-01-19,0.3147,0.709,positive
2016-01-20,-0.19345,0.705,negative
2016-01-20,-0.19345,0.705,positive
2016-01-21,-0.1027,0.953,negative
2016-01-22,0.1909,0.9510000000000001,positive
2016-01-22,0.1909,0.9510000000000001,neutral
2016-01-23,-0.52695,0.8280000000000001,negative
2016-01-24,0.10774999999999998,0.7625,positive
2016-01-24,0.10774999999999998,0.7625,negative
2016-01-25,0.11234999999999998,0.611,negative
2016-01-25,0.11234999999999998,0.611,positive
2016-01-26,0.32730000000000004,0.633,positive
2016-01-27,0.30235,0.762,positive
2016-01-28,0.29295,0.9219999999999999,positive
2016-01-28,0.29295,0.9219999999999999,neutral
2016-01-29,-0.332,0.849,negative
2016-01-30,-0.1806,0.9239999999999999,neutral
2016-01-30,-0.1806,0.9239999999999999,negative
2016-01-31,-0.4215,0.8825000000000001,negative
2016-02-01,-0.21384999999999998,0.859,negative
2016-02-02,0.3592,0.8845000000000001,neutral
2016-02-02,0.3592,0.8845000000000001,positive
2016-02-03,0.012399999999999994,0.895,positive
2016-02-03,0.012399999999999994,0.895,negative
2016-02-04,0.52665,0.8655,positive
2016-02-05,-0.2263,0.6984999999999999,negative
2016-02-06,-0.148,0.9525,negative
2016-02-06,-0.148,0.9525,neutral
2016-02-07,0.3272,0.8005,positive
2016-02-08,0.40625,0.8235,positive
2016-02-09,0.4232,0.732,positive
2016-02-10,0.16770000000000002,0.8585,positive
2016-02-10,0.16770000000000002,0.8585,negative
2016-02-11,-0.012749999999999984,0.6815,negative
2016-02-11,-0.012749999999999984,0.6815,positive
2016-02-12,0.37895,0.9119999999999999,neutral
2016-02-12,0.37895,0.9119999999999999,positive
2016-02-13,0.0,1.0,neutral
2016-02-14,0.23835,0.9265,neutral
2016-02-14,0.23835,0.9265,positive
2016-02-15,0.0,1.0,neutral
2016-02-16,0.4501,0.718,positive
2016-02-17,-0.2485,0.788,negative
2016-02-18,0.69865,0.7735,positive
2016-02-19,-0.2021,0.792,negative
2016-02-20,0.3291,0.8915,positive
2016-02-21,0.6823,0.8435,positive
2016-02-22,-0.32135,0.796,negative
2016-02-23,0.2023,0.933,positive
2016-02-24,-0.11960000000000001,0.79,positive
2016-02-24,-0.11960000000000001,0.79,negative
2016-02-25,0.01479999999999998,0.7885,positive
2016-02-25,0.01479999999999998,0.7885,negative
2016-02-26,0.5106,0.858,positive
2016-02-27,0.0,1.0,neutral
2016-02-28,0.29295,0.9235,positive
2016-02-28,0.29295,0.9235,neutral
2016-02-29,0.10115,0.7545,positive
2016-02-29,0.10115,0.7545,neutral
2016-03-01,-0.79375,0.681,negative
2016-03-02,-0.5199,0.855,negative
2016-03-03,0.0,0.9425,neutral
2016-03-04,0.3601,0.724,positive
2016-03-05,-0.3062,0.9165,negative
2016-03-05,-0.3062,0.9165,neutral
2016-03-06,0.0,1.0,neutral
2016-03-07,0.4754,0.754,positive
2016-03-08,0.48645,0.866,positive
2016-03-09,0.246,0.907,positive
2016-03-10,0.3583,0.6885,positive
2016-03-11,0.007800000000000029,0.8494999999999999,positive
2016-03-11,0.007800000000000029,0.8494999999999999,negative
2016-03-12,-0.26335,0.9239999999999999,neutral
2016-03-12,-0.26335,0.9239999999999999,negative
2016-03-13,-0.29295,0.899,negative
2016-03-13,-0.29295,0.899,neutral
2016-03-14,0.5570999999999999,0.7769999999999999,positive
2016-03-15,0.27115,0.901,positive
2016-03-16,-0.6712,0.6485000000000001,negative
2016-03-17,-0.125,0.9165,negative
2016-03-17,-0.125,0.9165,neutral
2016-03-18,0.7793,0.6965,positive
2016-03-19,0.3715,0.865,neutral
2016-03-19,0.3715,0.865,positive
2016-03-20,0.4215,0.859,positive
2016-03-21,0.20095,0.9530000000000001,positive
2016-03-21,0.20095,0.9530000000000001,neutral
2016-03-22,-0.17715,0.708,negative
2016-03-23,-0.22474999999999998,0.6114999999999999,negative
2016-03-23,-0.22474999999999998,0.6114999999999999,positive
2016-03-24,0.7506,0.6154999999999999,positive
2016-03-25,0.45424999999999993,0.8255,positive
2016-03-26,-0.6947,0.3425,negative
2016-03-27,0.73645,0.718,positive
2016-03-28,0.5573,0.723,positive
2016-03-29,0.53035,0.8145,positive
2016-03-30,0.32704999999999995,0.5994999999999999,positive
2016-03-30,0.32704999999999995,0.5994999999999999,negative
2016-03-31,-0.24695,0.9199999999999999,negative
2016-03-31,-0.24695,0.9199999999999999,neutral
2016-04-01,0.5267,0.893,positive
2016-04-02,0.0,1.0,neutral
2016-04-03,-0.007000000000000006,0.6825,positive
2016-04-03,-0.007000000000000006,0.6825,negative
2016-04-04,-0.3881,0.8205,negative
2016-04-05,-0.08279999999999998,0.6755,negative
2016-04-05,-0.08279999999999998,0.6755,positive
2016-04-06,0.0,1.0,neutral
2016-04-07,-0.41915,0.892,negative
2016-04-08,0.20955000000000001,0.7789999999999999,negative
2016-04-08,0.20955000000000001,0.7789999999999999,positive
2016-04-09,-0.296,0.9175,negative
2016-04-10,0.21045,0.829,positive
2016-04-11,0.1826,0.857,positive
2016-04-11,0.1826,0.857,negative
2016-04-12,0.68065,0.7064999999999999,positive
2016-04-13,0.1624,0.8785000000000001,positive
2016-04-14,0.65585,0.7715,positive
2016-04-15,-0.18805,0.6174999999999999,negative
2016-04-15,-0.18805,0.6174999999999999,positive
2016-04-16,0.0,1.0,neutral
2016-04-17,-0.42245,0.7989999999999999,negative
2016-04-18,-0.3612,0.8395,negative
2016-04-19,-0.45625000000000004,0.852,negative
2016-04-20,0.2202,0.948,neutral
2016-04-20,0.2202,0.948,positive
2016-04-21,0.53805,0.6875,positive
2016-04-22,0.3454,0.889,positive
2016-04-22,0.3454,0.889,neutral
2016-04-23,0.0,1.0,neutral
2016-04-24,0.0,1.0,neutral
2016-04-25,0.6055,0.8385,positive
2016-04-26,-0.44265,0.821,negative
2016-04-27,0.148,0.9595,positive
2016-04-27,0.148,0.9595,neutral
2016-04-28,-0.05135,0.855,neutral
2016-04-28,-0.05135,0.855,negative
2016-04-29,0.25,0.6910000000000001,positive
2016-04-30,0.8082,0.645,positive
2016-05-01,-0.276,0.7975000000000001,positive
2016-05-01,-0.276,0.7975000000000001,negative
2016-05-02,-0.4797,0.8875,negative
2016-05-03,-0.020899999999999974,0.923,negative
2016-05-03,-0.020899999999999974,0.923,positive
2016-05-04,0.1094,0.865,negative
2016-05-04,0.1094,0.865,positive
2016-05-05,0.2997,0.9275,neutral
2016-05-05,0.2997,0.9275,positive
2016-05-06,-0.0386,0.9239999999999999,negative
2016-05-06,-0.0386,0.9239999999999999,neutral
2016-05-07,0.1027,0.748,positive
2016-05-08,0.59265,0.7905,positive
2016-05-09,0.7947,0.6945,positive
2016-05-10,0.3548,0.856,neutral
2016-05-10,0.3548,0.856,positive
2016-05-11,-0.24695,0.921,neutral
2016-05-11,-0.24695,0.921,negative
2016-05-12,-0.10114999999999999,0.8694999999999999,positive
2016-05-12,-0.10114999999999999,0.8694999999999999,negative
2016-05-13,0.1591,0.9505,neutral
2016-05-13,0.1591,0.9505,positive
2016-05-14,-0.18155000000000002,0.761,negative
2016-05-14,-0.18155000000000002,0.761,positive
2016-05-15,0.31245,0.94,positive
2016-05-15,0.31245,0.94,neutral
2016-05-16,-0.031050000000000022,0.708,negative
2016-05-16,-0.031050000000000022,0.708,positive
2016-05-17,-0.29690000000000005,0.755,negative
2016-05-17,-0.29690000000000005,0.755,positive
2016-05-18,0.10705,0.6805,positive
2016-05-18,0.10705,0.6805,negative
2016-05-19,-0.1688,0.7230000000000001,negative
2016-05-19,-0.1688,0.7230000000000001,positive
2016-05-20,0.0,1.0,neutral
2016-05-21,0.0772,0.8434999999999999,positive
2016-05-22,0.37015,0.8400000000000001,positive
2016-05-23,-0.1531,0.7975000000000001,negative
2016-05-24,-0.030149999999999982,0.8855,positive
2016-05-24,-0.030149999999999982,0.8855,negative
2016-05-25,0.4842,0.8535,positive
2016-05-26,0.60295,0.7175,positive
2016-05-27,0.0665,0.72,negative
2016-05-27,0.0665,0.72,positive
2016-05-28,0.6101000000000001,0.8320000000000001,positive
2016-05-29,0.4393,0.8694999999999999,positive
2016-05-30,0.12685,0.7525,positive
2016-05-30,0.12685,0.7525,negative
2016-05-31,-0.296,0.9305000000000001,negative
2016-06-01,-0.06720000000000001,0.8220000000000001,negative
2016-06-01,-0.06720000000000001,0.8220000000000001,positive
2016-06-02,-0.098,0.9259999999999999,positive
2016-06-02,-0.098,0.9259999999999999,negative
2016-06-03,0.51705,0.8285,positive
2016-06-04,0.47620000000000007,0.862,positive
2016-06-05,0.78335,0.7035,positive
2016-06-06,0.125,0.9265,positive
2016-06-06,0.125,0.9265,neutral
2016-06-07,0.4111,0.835,positive
2016-06-08,0.20095,0.9545,positive
2016-06-08,0.20095,0.9545,neutral
2016-06-09,-0.07020000000000001,0.8260000000000001,negative
2016-06-09,-0.07020000000000001,0.8260000000000001,positive
2016-06-10,-0.05135,0.9135,neutral
2016-06-10,-0.05135,0.9135,negative
2016-06-11,0.15835,0.8725,positive
2016-06-11,0.15835,0.8725,neutral
2016-06-12,-0.6044,0.762,negative
2016-06-13,-0.23255,0.7795000000000001,positive
2016-06-13,-0.23255,0.7795000000000001,negative
2016-06-14,0.26820000000000005,0.9259999999999999,positive
2016-06-15,0.46935,0.7195,positive
2016-06-16,0.3066,0.6595,positive
2016-06-17,0.5461,0.742,positive
2016-06-18,-0.037950000000000005,0.8325,negative
2016-06-18,-0.037950000000000005,0.8325,positive
2016-06-19,0.25425,0.74,positive
2016-06-19,0.25425,0.74,negative
2016-06-20,-0.45765,0.792,neutral
2016-06-20,-0.45765,0.792,negative
2016-06-21,-0.04185,0.896,negative
2016-06-21,-0.04185,0.896,positive
2016-06-22,-0.48845000000000005,0.802,negative
2016-06-23,-0.4404,0.884,negative
2016-06-24,-0.2828,0.8995,neutral
2016-06-24,-0.2828,0.8995,negative
2016-06-25,-0.37495,0.654,negative
2016-06-25,-0.37495,0.654,positive
2016-06-26,0.3075,0.7130000000000001,negative
2016-06-26,0.3075,0.7130000000000001,positive
2016-06-27,0.64105,0.6475,positive
2016-06-28,-0.2787,0.937,neutral
2016-06-28,-0.2787,0.937,negative
2016-06-29,0.3454,0.907,positive
2016-06-29,0.3454,0.907,neutral
2016-06-30,0.17,0.9545,positive
2016-06-30,0.17,0.9545,neutral
2016-07-01,0.0,1.0,neutral
2016-07-02,-0.32455,0.897,negative
2016-07-03,0.2617,0.9195,positive
2016-07-04,0.0,1.0,neutral
2016-07-05,0.27115,0.9315,positive
2016-07-05,0.27115,0.9315,neutral
2016-07-06,0.20939999999999998,0.796,positive
2016-07-06,0.20939999999999998,0.796,negative
2016-07-07,0.34255,0.91,positive
2016-07-08,0.1591,0.9565,neutral
2016-07-08,0.1591,0.9565,positive
2016-07-09,0.65575,0.7989999999999999,positive
2016-07-10,0.0,1.0,neutral
2016-07-11,0.21725000000000003,0.7905,positive
2016-07-11,0.21725000000000003,0.7905,negative
2016-07-12,-0.2553,0.8905000000000001,negative
2016-07-12,-0.2553,0.8905000000000001,neutral
2016-07-13,0.1027,0.8905,positive
2016-07-14,-0.60725,0.706,negative
2016-07-15,0.3612,0.9135,positive
2016-07-16,0.21665000000000004,0.7869999999999999,positive
2016-07-16,0.21665000000000004,0.7869999999999999,negative
2016-07-17,-0.12195,0.8455,positive
2016-07-17,-0.12195,0.8455,negative
2016-07-18,-0.23835,0.9405,neutral
2016-07-18,-0.23835,0.9405,negative
2016-07-19,-0.2553,0.9490000000000001,negative
2016-07-19,-0.2553,0.9490000000000001,neutral
2016-07-20,0.32985,0.8895,positive
2016-07-20,0.32985,0.8895,neutral
2016-07-21,0.1591,0.9565,positive
2016-07-21,0.1591,0.9565,neutral
2016-07-22,0.07925000000000001,0.867,positive
2016-07-22,0.07925000000000001,0.867,negative
2016-07-23,-0.5999,0.733,negative
2016-07-24,-0.1636,0.7805,negative
2016-07-25,0.05135,0.97,neutral
2016-07-25,0.05135,0.97,positive
2016-07-26,-0.04684999999999999,0.8855,negative
2016-07-26,-0.04684999999999999,0.8855,positive
2016-07-27,0.40775,0.821,positive
2016-07-28,0.6287499999999999,0.736,positive
2016-07-29,-0.6641,0.7675000000000001,negative
2016-07-30,0.36985,0.8785000000000001,positive
2016-07-31,0.2821,0.8975,positive
2016-08-01,0.5328999999999999,0.8865000000000001,positive
2016-08-02,-0.6877500000000001,0.7204999999999999,negative
2016-08-03,-0.0772,0.853,negative
2016-08-04,0.1591,0.962,positive
2016-08-04,0.1591,0.962,neutral
2016-08-05,-0.7096,0.8325,negative
2016-08-06,-0.38634999999999997,0.7805,negative
